factor,beta,se,lo,hi,p_value,mean_factor,mean_contribution,panel,ticker,model
const,0.03313911075636513,0.016255084898631332,0.001279729789406804,0.06499849172332345,0.04148078151721552,1.0,0.03313911075636513,recent,ATI,M0
MKT,1.0238670746091225,0.3293327158657481,0.3783868125814934,1.6693473366367515,0.001877763983449236,0.00893283582089552,0.009146036479903875,recent,ATI,M0
const,0.013322172264959548,0.012817513616102354,-0.01179969279395282,0.038444037323871916,0.2986314888514533,1.0,0.013322172264959548,recent,MTRN,M1
MKT,1.023125822456178,0.2279282811646727,0.5763946003153002,1.4698570445970556,7.162350588267014e-06,0.00893283582089552,0.009139414996119736,recent,MTRN,M1
SMB,1.6448762850043819,0.3837644772959099,0.8927117309585592,2.3970408390502045,1.8178737079453002e-05,-0.0039358208955223885,-0.006473938453069486,recent,MTRN,M1
HML,0.3649489209370658,0.2608569714339878,-0.1463213481897439,0.8762191900638756,0.1618014670591783,0.007800000000000001,0.002846601583309114,recent,MTRN,M1
MOM,0.9935052907870483,0.3630211178485326,0.28199697417645386,1.7050136073976427,0.006204566312294556,0.003392537313432836,0.003370503770088001,recent,MTRN,M1
const,0.0027542261072859846,0.01528039760893157,-0.027194802875671848,0.03270325509024382,0.8569596750973978,1.0,0.0027542261072859846,recent,ENTG,M1
MKT,1.2272699638462763,0.2670060253446185,0.7039477705156352,1.7505921571769174,4.2982633974227864e-06,0.00893283582089552,0.010963001094955167,recent,ENTG,M1
SMB,1.2419560154094333,0.6446709550830824,-0.021575838432446925,2.5054878692513136,0.05404247099710732,-0.0039358208955223885,-0.004888116436768173,recent,ENTG,M1
HML,-0.17181638430183388,0.4520114090377994,-1.0577424666171233,0.7141096980134557,0.7038599406879547,0.007800000000000001,-0.0013401677975543045,recent,ENTG,M1
MOM,0.4295448531459981,0.581518348500253,-0.7102101662637094,1.5692998725557055,0.4601129481098266,0.003392537313432836,0.0014572469420908265,recent,ENTG,M1
const,0.03992614508888462,0.016113117495658108,0.008345015118732493,0.07150727505903674,0.013217079424432806,1.0,0.03992614508888462,recent,CRS,M1
MKT,1.192107162273141,0.26405083303809795,0.6745770394306699,1.7096372851156119,6.34100097822664e-06,0.00893283582089552,0.010648897561499622,recent,CRS,M1
SMB,1.4265066512674351,0.5398263713734159,0.36846640547059595,2.4845468970642743,0.008228950353250029,-0.0039358208955223885,-0.00561447468566004,recent,CRS,M1
HML,0.9058614132601364,0.3479653180032339,0.22386192210477107,1.5878609044155017,0.009232856604817102,0.007800000000000001,0.007065719023429065,recent,CRS,M1
MOM,-0.032389951121773064,0.44306934163862227,-0.9007899033873457,0.8360100011437994,0.9417236999320406,0.003392537313432836,-0.00010988411776088086,recent,CRS,M1
const,0.031118926538684484,0.01567614997825283,0.0003942371650605854,0.061843615912308386,0.04713191901714524,1.0,0.031118926538684484,recent,ATI,M1
MKT,1.025656834027759,0.28732182904600306,0.4625163971254186,1.5887972709300993,0.00035737080481417036,0.00893283582089552,0.009162024106949456,recent,ATI,M1
SMB,0.9550757291266808,0.366059057020193,0.2376131611524085,1.672538297100953,0.0090787200595742,-0.0039358208955223885,-0.003759007011503071,recent,ATI,M1
HML,0.7943565160660938,0.32295738287225645,0.1613716770951582,1.4273413550370293,0.013907929949467582,0.007800000000000001,0.006195980825315533,recent,ATI,M1
MOM,-0.12756741730191884,0.28670618524819624,-0.6895012145332524,0.4343663799294147,0.6563621891690882,0.003392537313432836,-0.0004327772231750172,recent,ATI,M1
const,0.01840075234715551,0.013372901823528655,-0.007809653595750667,0.04461115829006168,0.16882998085671153,1.0,0.01840075234715551,recent,MTRN,M1_nominal
MKT,0.8322446054950585,0.24390413382735357,0.35420128751300806,1.310287923477109,0.0006444573863006751,0.00893283582089552,0.00743430442371332,recent,MTRN,M1_nominal
SMB,1.655588513540763,0.3742114012729233,0.9221476444415673,2.3890293826399587,9.67974001910962e-06,-0.0039358208955223885,-0.006516099865980586,recent,MTRN,M1_nominal
