task,ticker,expanded,reduced,excluded,full_mean,mean_loss_reduction,pvalue,sign_flip
return,CRS,core_ols,historical_mean,2025-09,-0.0014852718527921,-0.0014080895314626,0.439,False
return,CRS,core_ols,historical_mean,2025-10,-0.0014852718527921,-0.0017857929345528,0.339,False
return,CRS,core_ols,historical_mean,2025-11,-0.0014852718527921,-0.0014124705177954,0.439,False
return,CRS,core_ols,historical_mean,2025-12,-0.0014852718527921,-0.0012602006844481,0.497,False
return,CRS,core_ols,historical_mean,2026-01,-0.0014852718527921,-0.0012309037378129,0.502,False
return,CRS,core_ols,historical_mean,2026-02,-0.0014852718527921,-0.0020271553293393,0.307,False
return,CRS,core_ols,historical_mean,2026-03,-0.0014852718527921,-0.0009679350032978,0.568,False
return,CRS,core_ols,historical_mean,2026-04,-0.0014852718527921,-0.0015320981509592,0.411,False
return,CRS,core_ols,historical_mean,2026-05,-0.0014852718527921,-0.001576760831225,0.407,False
return,CRS,core_ols,historical_mean,2026-06,-0.0014852718527921,-0.001724312320355,0.385,False
return,CRS,core_ols,historical_mean,2026-07,-0.0014852718527921,-0.0003977818635037,0.774,False
return,CRS,core_ols,historical_mean,2026-08,-0.0014852718527921,-0.0008707265222259,0.572,False
return,ATI,core_ols,historical_mean,2023-01,0.0005926154113796,0.0004621697421011,0.661,False
return,ATI,core_ols,historical_mean,2023-02,0.0005926154113796,0.000581035639688,0.564,False
return,ATI,core_ols,historical_mean,2023-03,0.0005926154113796,0.0006609544157981,0.476,False
return,ATI,core_ols,historical_mean,2023-04,0.0005926154113796,0.0006349068178771,0.506,False
return,ATI,core_ols,historical_mean,2023-05,0.0005926154113796,0.0006274999685963,0.515,False
return,ATI,core_ols,historical_mean,2023-06,0.0005926154113796,0.0006495366053193,0.494,False
return,ATI,core_ols,historical_mean,2023-07,0.0005926154113796,0.0006345990200991,0.506,False
return,ATI,core_ols,historical_mean,2023-08,0.0005926154113796,0.0006351063226893,0.506,False
return,ATI,core_ols,historical_mean,2023-09,0.0005926154113796,0.0006207454876881,0.524,False
return,ATI,core_ols,historical_mean,2023-10,0.0005926154113796,0.0006431808207474,0.493,False
return,ATI,core_ols,historical_mean,2023-11,0.0005926154113796,0.0005802438487599,0.565,False
return,ATI,core_ols,historical_mean,2023-12,0.0005926154113796,0.0006061799102621,0.546,False
return,ATI,core_ols,historical_mean,2024-01,0.0005926154113796,0.0006604843983891,0.462,False
return,ATI,core_ols,historical_mean,2024-02,0.0005926154113796,0.0005340201113554,0.599,False
return,ATI,core_ols,historical_mean,2024-03,0.0005926154113796,0.0006073536553631,0.54,False
