task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
return,1,ATI,A5_risk,expanding,44,0.8181818181818182,62.0,55.0,5,7,0.0,2068.0221011330923,0,0.0,,2
return,1,ATI,A6_industry,expanding,44,1.0,66.0,59.0,0,7,0.0,,0,0.0,,2
return,1,ATI,A7_business,expanding,44,0.8181818181818182,72.0,65.0,5,7,0.0,2444.802780587026,0,0.0,,2
return,1,ATI,A8_transform,expanding,44,0.8181818181818182,80.0,72.0,5,8,0.0,3120.949684415531,0,0.0,,2
return,1,ATI,A9_interaction,expanding,44,0.8181818181818182,82.0,74.0,5,8,0.0,4366.551885063516,0,0.0,,2
return,1,ATI,P1_financial,expanding,44,1.0,22.0,18.0,0,4,0.0,,0,0.0,,2
return,1,ATI,P2_valuation,expanding,44,1.0,32.0,27.0,0,5,0.0,,0,0.0,,2
return,1,ATI,P3_transform,expanding,44,1.0,40.0,34.0,0,6,0.0,,0,0.0,,2
return,1,ATI,P4_market,expanding,44,1.0,69.0,61.0,0,8,0.0,,0,0.0,,2
return,1,ATI,P5_industry,expanding,44,1.0,74.0,66.0,0,8,0.0,,0,0.0,,2
return,1,ATI,P6_business,expanding,44,0.8181818181818182,80.0,72.0,5,8,0.0,3120.949684415531,0,0.0,,2
return,1,ATI,ar1,expanding,44,0.0,1.0,1.0,0,0,1.0,1.0,1,1.0,,1
return,1,ATI,arx,expanding,44,0.0,7.0,7.0,0,0,7.0,7.4423911840636325,7,7.0,,1
return,1,ATI,boost_full,expanding,44,0.8181818181818182,80.0,72.0,5,8,0.0,3120.949684415531,0,0.0,346.5,2
return,1,ATI,claims_proxy_sensitivity,expanding,44,0.8181818181818182,83.0,74.0,6,9,0.0,4594.616509155505,0,0.0,,2
